Commong lines / Lines that are correct: 12
applicant1, application1, checkStatus
applicant2, application2, checkStatus
csStu1, csStu1application, checkStatus
csStu2, csStu2application, checkStatus
csStu3, csStu3application, checkStatus
csStu4, csStu4application, checkStatus
csStu5, csStu5application, checkStatus
eeStu1, eeStu1application, checkStatus
eeStu2, eeStu2application, checkStatus
eeStu3, eeStu3application, checkStatus
eeStu4, eeStu4application, checkStatus
eeStu5, eeStu5application, checkStatus

Only in ground truth ACL (under permissions): 156
admissions1, application1, read
admissions1, application1, setStatus
admissions1, application2, read
admissions1, application2, setStatus
admissions1, csStu1application, read
admissions1, csStu1application, setStatus
admissions1, csStu2application, read
admissions1, csStu2application, setStatus
admissions1, csStu3application, read
admissions1, csStu3application, setStatus
admissions1, csStu4application, read
admissions1, csStu4application, setStatus
admissions1, csStu5application, read
admissions1, csStu5application, setStatus
admissions1, eeStu1application, read
admissions1, eeStu1application, setStatus
admissions1, eeStu2application, read
admissions1, eeStu2application, setStatus
admissions1, eeStu3application, read
admissions1, eeStu3application, setStatus
admissions1, eeStu4application, read
admissions1, eeStu4application, setStatus
admissions1, eeStu5application, read
admissions1, eeStu5application, setStatus
admissions2, application1, read
admissions2, application1, setStatus
admissions2, application2, read
admissions2, application2, setStatus
admissions2, csStu1application, read
admissions2, csStu1application, setStatus
admissions2, csStu2application, read
admissions2, csStu2application, setStatus
admissions2, csStu3application, read
admissions2, csStu3application, setStatus
admissions2, csStu4application, read
admissions2, csStu4application, setStatus
admissions2, csStu5application, read
admissions2, csStu5application, setStatus
admissions2, eeStu1application, read
admissions2, eeStu1application, setStatus
admissions2, eeStu2application, read
admissions2, eeStu2application, setStatus
admissions2, eeStu3application, read
admissions2, eeStu3application, setStatus
admissions2, eeStu4application, read
admissions2, eeStu4application, setStatus
admissions2, eeStu5application, read
admissions2, eeStu5application, setStatus
csChair, csStu1trans, read
csChair, csStu2trans, read
csChair, csStu3trans, read
csChair, csStu4trans, read
csChair, csStu5trans, read
csFac1, cs101gradebook, addScore
csFac1, cs101gradebook, assignGrade
csFac1, cs101gradebook, changeScore
csFac1, cs101gradebook, readScore
csFac1, cs101roster, read
csFac2, cs601gradebook, addScore
csFac2, cs601gradebook, assignGrade
csFac2, cs601gradebook, changeScore
csFac2, cs601gradebook, readScore
csFac2, cs601roster, read
csStu1, cs101gradebook, readMyScores
csStu1, csStu1trans, read
csStu2, cs101gradebook, addScore
csStu2, cs101gradebook, readScore
csStu2, cs601gradebook, readMyScores
csStu2, cs602gradebook, addScore
csStu2, cs602gradebook, readScore
csStu2, csStu2trans, read
csStu3, cs601gradebook, addScore
csStu3, cs601gradebook, readScore
csStu3, cs602gradebook, readMyScores
csStu3, csStu3trans, read
csStu4, cs601gradebook, readMyScores
csStu4, csStu4trans, read
csStu5, cs601gradebook, readMyScores
csStu5, cs602gradebook, readMyScores
csStu5, csStu5trans, read
eeChair, eeStu1trans, read
eeChair, eeStu2trans, read
eeChair, eeStu3trans, read
eeChair, eeStu4trans, read
eeChair, eeStu5trans, read
eeFac1, ee101gradebook, addScore
eeFac1, ee101gradebook, assignGrade
eeFac1, ee101gradebook, changeScore
eeFac1, ee101gradebook, readScore
eeFac1, ee101roster, read
eeFac2, ee601gradebook, addScore
eeFac2, ee601gradebook, assignGrade
eeFac2, ee601gradebook, changeScore
eeFac2, ee601gradebook, readScore
eeFac2, ee601roster, read
eeStu1, ee101gradebook, readMyScores
eeStu1, eeStu1trans, read
eeStu2, ee101gradebook, addScore
eeStu2, ee101gradebook, readScore
eeStu2, ee601gradebook, readMyScores
eeStu2, ee602gradebook, addScore
eeStu2, ee602gradebook, readScore
eeStu2, eeStu2trans, read
eeStu3, ee601gradebook, addScore
eeStu3, ee601gradebook, readScore
eeStu3, ee602gradebook, readMyScores
eeStu3, eeStu3trans, read
eeStu4, ee601gradebook, readMyScores
eeStu4, eeStu4trans, read
eeStu5, ee601gradebook, readMyScores
eeStu5, ee602gradebook, readMyScores
eeStu5, eeStu5trans, read
registrar1, cs101roster, read
registrar1, cs101roster, write
registrar1, cs601roster, read
registrar1, cs601roster, write
registrar1, cs602roster, read
registrar1, cs602roster, write
registrar1, csStu1trans, read
registrar1, csStu2trans, read
registrar1, csStu3trans, read
registrar1, csStu4trans, read
registrar1, csStu5trans, read
registrar1, ee101roster, read
registrar1, ee101roster, write
registrar1, ee601roster, read
registrar1, ee601roster, write
registrar1, ee602roster, read
registrar1, ee602roster, write
registrar1, eeStu1trans, read
registrar1, eeStu2trans, read
registrar1, eeStu3trans, read
registrar1, eeStu4trans, read
registrar1, eeStu5trans, read
registrar2, cs101roster, read
registrar2, cs101roster, write
registrar2, cs601roster, read
registrar2, cs601roster, write
registrar2, cs602roster, read
registrar2, cs602roster, write
registrar2, csStu1trans, read
registrar2, csStu2trans, read
registrar2, csStu3trans, read
registrar2, csStu4trans, read
registrar2, csStu5trans, read
registrar2, ee101roster, read
registrar2, ee101roster, write
registrar2, ee601roster, read
registrar2, ee601roster, write
registrar2, ee602roster, read
registrar2, ee602roster, write
registrar2, eeStu1trans, read
registrar2, eeStu2trans, read
registrar2, eeStu3trans, read
registrar2, eeStu4trans, read
registrar2, eeStu5trans, read

Only in LLM ACL (over permissions): 132
applicant1, application2, checkStatus
applicant1, csStu1application, checkStatus
applicant1, csStu2application, checkStatus
applicant1, csStu3application, checkStatus
applicant1, csStu4application, checkStatus
applicant1, csStu5application, checkStatus
applicant1, eeStu1application, checkStatus
applicant1, eeStu2application, checkStatus
applicant1, eeStu3application, checkStatus
applicant1, eeStu4application, checkStatus
applicant1, eeStu5application, checkStatus
applicant2, application1, checkStatus
applicant2, csStu1application, checkStatus
applicant2, csStu2application, checkStatus
applicant2, csStu3application, checkStatus
applicant2, csStu4application, checkStatus
applicant2, csStu5application, checkStatus
applicant2, eeStu1application, checkStatus
applicant2, eeStu2application, checkStatus
applicant2, eeStu3application, checkStatus
applicant2, eeStu4application, checkStatus
applicant2, eeStu5application, checkStatus
csStu1, application1, checkStatus
csStu1, application2, checkStatus
csStu1, csStu2application, checkStatus
csStu1, csStu3application, checkStatus
csStu1, csStu4application, checkStatus
csStu1, csStu5application, checkStatus
csStu1, eeStu1application, checkStatus
csStu1, eeStu2application, checkStatus
csStu1, eeStu3application, checkStatus
csStu1, eeStu4application, checkStatus
csStu1, eeStu5application, checkStatus
csStu2, application1, checkStatus
csStu2, application2, checkStatus
csStu2, csStu1application, checkStatus
csStu2, csStu3application, checkStatus
csStu2, csStu4application, checkStatus
csStu2, csStu5application, checkStatus
csStu2, eeStu1application, checkStatus
csStu2, eeStu2application, checkStatus
csStu2, eeStu3application, checkStatus
csStu2, eeStu4application, checkStatus
csStu2, eeStu5application, checkStatus
csStu3, application1, checkStatus
csStu3, application2, checkStatus
csStu3, csStu1application, checkStatus
csStu3, csStu2application, checkStatus
csStu3, csStu4application, checkStatus
csStu3, csStu5application, checkStatus
csStu3, eeStu1application, checkStatus
csStu3, eeStu2application, checkStatus
csStu3, eeStu3application, checkStatus
csStu3, eeStu4application, checkStatus
csStu3, eeStu5application, checkStatus
csStu4, application1, checkStatus
csStu4, application2, checkStatus
csStu4, csStu1application, checkStatus
csStu4, csStu2application, checkStatus
csStu4, csStu3application, checkStatus
csStu4, csStu5application, checkStatus
csStu4, eeStu1application, checkStatus
csStu4, eeStu2application, checkStatus
csStu4, eeStu3application, checkStatus
csStu4, eeStu4application, checkStatus
csStu4, eeStu5application, checkStatus
csStu5, application1, checkStatus
csStu5, application2, checkStatus
csStu5, csStu1application, checkStatus
csStu5, csStu2application, checkStatus
csStu5, csStu3application, checkStatus
csStu5, csStu4application, checkStatus
csStu5, eeStu1application, checkStatus
csStu5, eeStu2application, checkStatus
csStu5, eeStu3application, checkStatus
csStu5, eeStu4application, checkStatus
csStu5, eeStu5application, checkStatus
eeStu1, application1, checkStatus
