Commong lines / Lines that are correct: 88
admissions1, application1, read
csStu5, cs602gradebook, readMyScores
csStu5, csStu5application, checkStatus
eeChair, eeStu1trans, read
eeChair, eeStu2trans, read
eeChair, eeStu3trans, read
eeChair, eeStu4trans, read
eeChair, eeStu5trans, read
eeFac1, ee101gradebook, addScore
eeFac1, ee101gradebook, assignGrade
eeFac1, ee101gradebook, readScore
eeFac2, ee601gradebook, addScore
eeFac2, ee601gradebook, assignGrade
eeFac2, ee601gradebook, readScore
eeStu1, ee101gradebook, readMyScores
eeStu1, eeStu1application, checkStatus
eeStu2, ee601gradebook, readMyScores
eeStu2, eeStu2application, checkStatus
eeStu3, ee602gradebook, readMyScores
eeStu3, eeStu3application, checkStatus
eeStu4, ee601gradebook, readMyScores
eeStu4, eeStu4application, checkStatus
eeStu5, ee601gradebook, readMyScores
eeStu5, ee602gradebook, readMyScores
eeStu5, eeStu5application, checkStatus
registrar1, cs101roster, write
registrar1, cs601roster, write
registrar1, cs602roster, write
registrar1, ee101roster, write
registrar1, ee601roster, write
registrar1, ee602roster, write
registrar2, cs101roster, write
registrar2, cs601roster, write
registrar2, cs602roster, write
registrar2, ee101roster, write
registrar2, ee601roster, write
registrar2, ee602roster, write

Only in LLM ACL (over permissions): 1500
admissions1, application1, setStatus,
admissions1, application2, setStatus,
admissions1, cs101gradebook, read
admissions1, cs101gradebook, setStatus,
admissions1, cs101roster, read
admissions1, cs101roster, setStatus,
admissions1, cs601gradebook, read
admissions1, cs601gradebook, setStatus,
admissions1, cs601roster, read
admissions1, cs601roster, setStatus,
admissions1, cs602gradebook, read
admissions1, cs602gradebook, setStatus,
admissions1, cs602roster, read
admissions1, cs602roster, setStatus,
admissions1, csStu1application, setStatus,
admissions1, csStu1trans, read
admissions1, csStu1trans, setStatus,
admissions1, csStu2application, setStatus,
admissions1, csStu2trans, read
admissions1, csStu2trans, setStatus,
admissions1, csStu3application, setStatus,
admissions1, csStu3trans, read
admissions1, csStu3trans, setStatus,
admissions1, csStu4application, setStatus,
admissions1, csStu4trans, read
admissions1, csStu4trans, setStatus,
admissions1, csStu5application, setStatus,
admissions1, csStu5trans, read
admissions1, csStu5trans, setStatus,
admissions1, ee101gradebook, read
admissions1, ee101gradebook, setStatus,
admissions1, ee101roster, read
admissions1, ee101roster, setStatus,
admissions1, ee601gradebook, read
admissions1, ee601gradebook, setStatus,
admissions1, ee601roster, read
admissions1, ee601roster, setStatus,
admissions1, ee602gradebook, read
admissions1, ee602gradebook, setStatus,
admissions1, ee602roster, read
admissions1, ee602roster, setStatus,
admissions1, eeStu1application, setStatus,
admissions1, eeStu1trans, read
admissions1, eeStu1trans, setStatus,
admissions1, eeStu2application, setStatus,
admissions1, eeStu2trans, read
admissions1, eeStu2trans, setStatus,
admissions1, eeStu3application, setStatus,
admissions1, eeStu3trans, read
admissions1, eeStu3trans, setStatus,
admissions1, eeStu4application, setStatus,
admissions1, eeStu4trans, read
admissions1, eeStu4trans, setStatus,
admissions1, eeStu5application, setStatus,
admissions1, eeStu5trans, read
admissions1, eeStu5trans, setStatus,
admissions2, application1, setStatus,
admissions2, application2, setStatus,
admissions2, cs101gradebook, read
admissions2, cs101gradebook, setStatus,
admissions2, cs101roster, read
admissions2, cs101roster, setStatus,
admissions2, cs601gradebook, read
admissions2, cs601gradebook, setStatus,
admissions2, cs601roster, read
admissions2, cs601roster, setStatus,
admissions2, cs602gradebook, read
admissions2, cs602gradebook, setStatus,
admissions2, cs602roster, read
admissions2, cs602roster, setStatus,
admissions2, csStu1application, setStatus,
admissions2, csStu1trans, read
admissions2, csStu1trans, setStatus,
admissions2, csStu2application, setStatus,
admissions2, csStu2trans, read
admissions2, csStu2trans, setStatus,
admissions2, csStu3application, setStatus,
admissions2, csStu3trans, read
admissions2, csStu3trans, setStatus,
admissions2, csStu4application, setStatus,
admissions2, csStu4trans, read
admissions2, csStu4trans, setStatus,
admissions2, csStu5application, setStatus,
admissions2, csStu5trans, read
admissions2, csStu5trans, setStatus,
admissions2, ee101gradebook, read
admissions2, ee101gradebook, setStatus,
admissions2, ee101roster, read
admissions2, ee101roster, setStatus,
admissions2, ee601gradebook, read
admissions2, ee601gradebook, setStatus,
admissions2, ee601roster, read
admissions2, ee601roster, setStatus,
admissions2, ee602gradebook, read
admissions2, ee602gradebook, setStatus,
admissions2, ee602roster, read
admissions2, ee602roster, setStatus,
admissions2, eeStu1application, setStatus,
admissions2, eeStu1trans, read
admissions2, eeStu1trans, setStatus,
admissions2, eeStu2application, setStatus,
admissions2, eeStu2trans, read
admissions2, eeStu2trans, setStatus,
admissions2, eeStu3application, setStatus,
admissions2, eeStu3trans, read
admissions2, eeStu3trans, setStatus,
admissions2, eeStu4application, setStatus,
admissions2, eeStu4trans, read
admissions2, eeStu4trans, setStatus,
admissions2, eeStu5application, setStatus,
admissions2, eeStu5trans, read
admissions2, eeStu5trans, setStatus,
applicant1, application2, checkStatus
applicant1, cs101gradebook, checkStatus
applicant1, cs101roster, checkStatus
applicant1, cs601gradebook, checkStatus
applicant1, cs601roster, checkStatus
applicant1, cs602gradebook, checkStatus
applicant1, cs602roster, checkStatus
applicant1, csStu1application, checkStatus
applicant1, csStu1trans, checkStatus
applicant1, csStu2application, checkStatus
applicant1, csStu2trans, checkStatus
applicant1, csStu3application, checkStatus
applicant1, csStu3trans, checkStatus
applicant1, csStu4application, checkStatus
applicant1, csStu4trans, checkStatus
applicant1, csStu5application, checkStatus
applicant1, csStu5trans, checkStatus
applicant1, ee101gradebook, checkStatus
applicant1, ee101roster, checkStatus
applicant1, ee601gradebook, checkStatus
applicant1, ee601roster, checkStatus
applicant1, ee602gradebook, checkStatus
applicant1, ee602roster, checkStatus
applicant1, eeStu1application, checkStatus
applicant1, eeStu1trans, checkStatus
applicant1, eeStu2application, checkStatus
applicant1, eeStu2trans, checkStatus
applicant1, eeStu3application, checkStatus
applicant1, eeStu3trans, checkStatus
applicant1, eeStu4application, checkStatus
applicant1, eeStu4trans, checkStatus
applicant1, eeStu5application, checkStatus
applicant1, eeStu5trans, checkStatus
applicant2, application1, checkStatus
applicant2, cs101gradebook, checkStatus
applicant2, cs101roster, checkStatus
applicant2, cs601gradebook, checkStatus
applicant2, cs601roster, checkStatus
applicant2, cs602gradebook, checkStatus
applicant2, cs602roster, checkStatus
applicant2, csStu1application, checkStatus
applicant2, csStu1trans, checkStatus
applicant2, csStu2application, checkStatus
applicant2, csStu2trans, checkStatus
applicant2, csStu3application, checkStatus
applicant2, csStu3trans, checkStatus
applicant2, csStu4application, checkStatus
applicant2, csStu4trans, checkStatus
applicant2, csStu5application, checkStatus
applicant2, csStu5trans, checkStatus
applicant2, ee101gradebook, checkStatus
applicant2, ee101roster, checkStatus
applicant2, ee601gradebook, checkStatus
applicant2, ee601roster, checkStatus
applicant2, ee602gradebook, checkStatus
applicant2, ee602roster, checkStatus
applicant2, eeStu1application, checkStatus
applicant2, eeStu1trans, checkStatus
applicant2, eeStu2application, checkStatus
applicant2, eeStu2trans, checkStatus
applicant2, eeStu3application, checkStatus
applicant2, eeStu3trans, checkStatus
applicant2, eeStu4application, checkStatus
applicant2, eeStu4trans, checkStatus
applicant2, eeStu5application, checkStatus
applicant2, eeStu5trans, checkStatus
csFac1, cs101gradebook, addScore,
csFac1, cs101gradebook, assignGrade,
csFac1, cs101gradebook, changeScore,
csFac1, cs101gradebook, read
csFac1, cs101gradebook, readScore,
csFac1, cs601gradebook, addScore,
csFac1, cs601gradebook, assignGrade,
csFac1, cs601gradebook, changeScore
csFac1, cs601gradebook, changeScore,
csFac1, cs601gradebook, read
csFac1, cs601gradebook, readScore,
csFac1, cs601roster, read
csFac1, cs602gradebook, addScore,
csFac1, cs602gradebook, assignGrade,
csFac1, cs602gradebook, changeScore
csFac1, cs602gradebook, changeScore,
csFac1, cs602gradebook, read
csFac1, cs602gradebook, readScore,
csFac1, cs602roster, read
csFac1, ee101gradebook, addScore,
csFac1, ee101gradebook, assignGrade,
csFac1, ee101gradebook, changeScore
csFac1, ee101gradebook, changeScore,
csFac1, ee101gradebook, read
csFac1, ee101gradebook, readScore,
csFac1, ee101roster, read
csFac1, ee601gradebook, addScore,
csFac1, ee601gradebook, assignGrade,
csFac1, ee601gradebook, changeScore
csFac1, ee601gradebook, changeScore,
csFac1, ee601gradebook, read
csFac1, ee601gradebook, readScore,
csFac1, ee601roster, read
csFac1, ee602gradebook, addScore,
csFac1, ee602gradebook, assignGrade,
csFac1, ee602gradebook, changeScore
csFac1, ee602gradebook, changeScore,
csFac1, ee602gradebook, read
csFac1, ee602gradebook, readScore,
csFac1, ee602roster, read
csFac2, cs101gradebook, addScore,
csFac2, cs101gradebook, assignGrade,
csFac2, cs101gradebook, changeScore
csFac2, cs101gradebook, changeScore,
csFac2, cs101gradebook, read
csFac2, cs101gradebook, readScore,
csFac2, cs101roster, read
csFac2, cs601gradebook, addScore,
csFac2, cs601gradebook, assignGrade,
csFac2, cs601gradebook, changeScore,
csFac2, cs601gradebook, read
csFac2, cs601gradebook, readScore,
csFac2, cs602gradebook, addScore,
csFac2, cs602gradebook, assignGrade,
csFac2, cs602gradebook, changeScore
csFac2, cs602gradebook, changeScore,
csFac2, cs602gradebook, read
csFac2, cs602gradebook, readScore,
csFac2, cs602roster, read
csFac2, ee101gradebook, addScore,
csFac2, ee101gradebook, assignGrade,
csFac2, ee101gradebook, changeScore
csFac2, ee101gradebook, changeScore,
csFac2, ee101gradebook, read
csFac2, ee101gradebook, readScore,
csFac2, ee101roster, read
csFac2, ee601gradebook, addScore,
csFac2, ee601gradebook, assignGrade,
csFac2, ee601gradebook, changeScore
csFac2, ee601gradebook, changeScore,
csFac2, ee601gradebook, read
csFac2, ee601gradebook, readScore,
csFac2, ee601roster, read
csFac2, ee602gradebook, addScore,
csFac2, ee602gradebook, assignGrade,
csFac2, ee602gradebook, changeScore
csFac2, ee602gradebook, changeScore,
csFac2, ee602gradebook, read
csFac2, ee602gradebook, readScore,
csFac2, ee602roster, read
csStu1, application1, addScore
csStu1, application1, read
csStu1, application1, readMyScores,
csStu1, application2, addScore
csStu1, application2, read
csStu1, application2, readMyScores,
csStu1, cs101gradebook, addScore
csStu1, cs101gradebook, read
csStu1, cs101gradebook, readMyScores,
csStu1, cs101gradebook, readScore
csStu1, cs101roster, addScore
csStu1, cs101roster, read
csStu1, cs101roster, readMyScores,
csStu1, cs601gradebook, addScore
csStu1, cs601gradebook, read
csStu1, cs601gradebook, readMyScores,
csStu1, cs601gradebook, readScore
csStu1, cs601roster, addScore
csStu1, cs601roster, read
csStu1, cs601roster, readMyScores,
csStu1, cs602gradebook, addScore
csStu1, cs602gradebook, read
csStu1, cs602gradebook, readMyScores,
csStu1, cs602gradebook, readScore
csStu1, cs602roster, addScore
csStu1, cs602roster, read
csStu1, cs602roster, readMyScores,
csStu1, csStu1application, addScore
csStu1, csStu1application, read
csStu1, csStu1application, readMyScores,
csStu1, csStu1trans, addScore
csStu1, csStu1trans, readMyScores,
csStu1, csStu2application, addScore
csStu1, csStu2application, read
csStu1, csStu2application, readMyScores,
csStu1, csStu2trans, addScore
csStu1, csStu2trans, read
csStu1, csStu2trans, readMyScores,
csStu1, csStu3application, addScore
csStu1, csStu3application, read
csStu1, csStu3application, readMyScores,
csStu1, csStu3trans, addScore
csStu1, csStu3trans, read
csStu1, csStu3trans, readMyScores,
csStu1, csStu4application, addScore
csStu1, csStu4application, read
csStu1, csStu4application, readMyScores,
csStu1, csStu4trans, addScore
csStu1, csStu4trans, read
csStu1, csStu4trans, readMyScores,
csStu1, csStu5application, addScore
csStu1, csStu5application, read
csStu1, csStu5application, readMyScores,
csStu1, csStu5trans, addScore
csStu1, csStu5trans, read
csStu1, csStu5trans, readMyScores,
csStu1, ee101gradebook, addScore
csStu1, ee101gradebook, read
csStu1, ee101gradebook, readMyScores,
csStu1, ee101gradebook, readScore
csStu1, ee101roster, addScore
csStu1, ee101roster, read
csStu1, ee101roster, readMyScores,
csStu1, ee601gradebook, addScore
csStu1, ee601gradebook, read
csStu1, ee601gradebook, readMyScores,
csStu1, ee601gradebook, readScore
csStu1, ee601roster, addScore
csStu1, ee601roster, read
csStu1, ee601roster, readMyScores,
csStu1, ee602gradebook, addScore
csStu1, ee602gradebook, read
csStu1, ee602gradebook, readMyScores,
csStu1, ee602gradebook, readScore
csStu1, ee602roster, addScore
csStu1, ee602roster, read
csStu1, ee602roster, readMyScores,
csStu1, eeStu1application, addScore
csStu1, eeStu1application, read
csStu1, eeStu1application, readMyScores,
csStu1, eeStu1trans, addScore
csStu1, eeStu1trans, read
csStu1, eeStu1trans, readMyScores,
csStu1, eeStu2application, addScore
csStu1, eeStu2application, read
csStu1, eeStu2application, readMyScores,
csStu1, eeStu2trans, addScore
csStu1, eeStu2trans, read
csStu1, eeStu2trans, readMyScores,
csStu1, eeStu3application, addScore
csStu1, eeStu3application, read
csStu1, eeStu3application, readMyScores,
csStu1, eeStu3trans, addScore
csStu1, eeStu3trans, read
csStu1, eeStu3trans, readMyScores,
csStu1, eeStu4application, addScore
csStu1, eeStu4application, read
csStu1, eeStu4application, readMyScores,
csStu1, eeStu4trans, addScore
csStu1, eeStu4trans, read
csStu1, eeStu4trans, readMyScores,
csStu1, eeStu5application, addScore
csStu1, eeStu5application, read
csStu1, eeStu5application, readMyScores,
csStu1, eeStu5trans, addScore
csStu1, eeStu5trans, read
csStu1, eeStu5trans, readMyScores,
csStu2, application1, addScore
csStu2, application1, read
csStu2, application1, readMyScores,
csStu2, application2, addScore
csStu2, application2, read
csStu2, application2, readMyScores,
csStu2, cs101gradebook, read
csStu2, cs101gradebook, readMyScores,
csStu2, cs101roster, addScore
csStu2, cs101roster, read
csStu2, cs101roster, readMyScores,
csStu2, cs601gradebook, addScore
csStu2, cs601gradebook, read
csStu2, cs601gradebook, readMyScores,
csStu2, cs601gradebook, readScore
csStu2, cs601roster, addScore
csStu2, cs601roster, read
csStu2, cs601roster, readMyScores,
csStu2, cs602gradebook, read
csStu2, cs602gradebook, readMyScores,
csStu2, cs602roster, addScore
csStu2, cs602roster, read
csStu2, cs602roster, readMyScores,
csStu2, csStu1application, addScore
csStu2, csStu1application, read
csStu2, csStu1application, readMyScores,
csStu2, csStu1trans, addScore
csStu2, csStu1trans, read
csStu2, csStu1trans, readMyScores,
csStu2, csStu2application, addScore
csStu2, csStu2application, read
csStu2, csStu2application, readMyScores,
csStu2, csStu2trans, addScore
csStu2, csStu2trans, readMyScores,
csStu2, csStu3application, addScore
csStu2, csStu3application, read
csStu2, csStu3application, readMyScores,
csStu2, csStu3trans, addScore
csStu2, csStu3trans, read
csStu2, csStu3trans, readMyScores,
csStu2, csStu4application, addScore
csStu2, csStu4application, read
csStu2, csStu4application, readMyScores,
csStu2, csStu4trans, addScore
csStu2, csStu4trans, read
csStu2, csStu4trans, readMyScores,
csStu2, csStu5application, addScore
csStu2, csStu5application, read
csStu2, csStu5application, readMyScores,
csStu2, csStu5trans, addScore
csStu2, csStu5trans, read
csStu2, csStu5trans, readMyScores,
csStu2, ee101gradebook, addScore
csStu2, ee101gradebook, read
csStu2, ee101gradebook, readMyScores,
csStu2, ee101gradebook, readScore
csStu2, ee101roster, addScore
csStu2, ee101roster, read
csStu2, ee101roster, readMyScores,
csStu2, ee601gradebook, addScore
csStu2, ee601gradebook, read
csStu2, ee601gradebook, readMyScores,
csStu2, ee601gradebook, readScore
csStu2, ee601roster, addScore
csStu2, ee601roster, read
csStu2, ee601roster, readMyScores,
csStu2, ee602gradebook, addScore
csStu2, ee602gradebook, read
csStu2, ee602gradebook, readMyScores,
csStu2, ee602gradebook, readScore
csStu2, ee602roster, addScore
csStu2, ee602roster, read
csStu2, ee602roster, readMyScores,
csStu2, eeStu1application, addScore
csStu2, eeStu1application, read
csStu2, eeStu1application, readMyScores,
csStu2, eeStu1trans, addScore
csStu2, eeStu1trans, read
csStu2, eeStu1trans, readMyScores,
csStu2, eeStu2application, addScore
csStu2, eeStu2application, read
csStu2, eeStu2application, readMyScores,
csStu2, eeStu2trans, addScore
csStu2, eeStu2trans, read
csStu2, eeStu2trans, readMyScores,
csStu2, eeStu3application, addScore
csStu2, eeStu3application, read
csStu2, eeStu3application, readMyScores,
csStu2, eeStu3trans, addScore
csStu2, eeStu3trans, read
csStu2, eeStu3trans, readMyScores,
csStu2, eeStu4application, addScore
csStu2, eeStu4application, read
csStu2, eeStu4application, readMyScores,
csStu2, eeStu4trans, addScore
csStu2, eeStu4trans, read
csStu2, eeStu4trans, readMyScores,
csStu2, eeStu5application, addScore
csStu2, eeStu5application, read
csStu2, eeStu5application, readMyScores,
csStu2, eeStu5trans, addScore
csStu2, eeStu5trans, read
csStu2, eeStu5trans, readMyScores,
csStu3, application1, addScore
csStu3, application1, read
csStu3, application1, readMyScores,
csStu3, application2, addScore
csStu3, application2, read
csStu3, application2, readMyScores,
csStu3, cs101gradebook, addScore
csStu3, cs101gradebook, read
csStu3, cs101gradebook, readMyScores,
csStu3, cs101gradebook, readScore
csStu3, cs101roster, addScore
csStu3, cs101roster, read
csStu3, cs101roster, readMyScores,
csStu3, cs601gradebook, read
csStu3, cs601gradebook, readMyScores,
csStu3, cs601roster, addScore
csStu3, cs601roster, read
csStu3, cs601roster, readMyScores,
csStu3, cs602gradebook, addScore
csStu3, cs602gradebook, read
csStu3, cs602gradebook, readMyScores,
csStu3, cs602gradebook, readScore
csStu3, cs602roster, addScore
csStu3, cs602roster, read
csStu3, cs602roster, readMyScores,
csStu3, csStu1application, addScore
csStu3, csStu1application, read
csStu3, csStu1application, readMyScores,
csStu3, csStu1trans, addScore
csStu3, csStu1trans, read
csStu3, csStu1trans, readMyScores,
csStu3, csStu2application, addScore
csStu3, csStu2application, read
csStu3, csStu2application, readMyScores,
csStu3, csStu2trans, addScore
csStu3, csStu2trans, read
csStu3, csStu2trans, readMyScores,
csStu3, csStu3application, addScore
csStu3, csStu3application, read
csStu3, csStu3application, readMyScores,
csStu3, csStu3trans, addScore
csStu3, csStu3trans, readMyScores,
csStu3, csStu4application, addScore
csStu3, csStu4application, read
csStu3, csStu4application, readMyScores,
csStu3, csStu4trans, addScore
csStu3, csStu4trans, read
csStu3, csStu4trans, readMyScores,
csStu3, csStu5application, addScore
csStu3, csStu5application, read
csStu3, csStu5application, readMyScores,
csStu3, csStu5trans, addScore
csStu3, csStu5trans, read
csStu3, csStu5trans, readMyScores,
csStu3, ee101gradebook, addScore
csStu3, ee101gradebook, read
csStu3, ee101gradebook, readMyScores,
csStu3, ee101gradebook, readScore
csStu3, ee101roster, addScore
csStu3, ee101roster, read
csStu3, ee101roster, readMyScores,
csStu3, ee601gradebook, addScore
csStu3, ee601gradebook, read
csStu3, ee601gradebook, readMyScores,
csStu3, ee601gradebook, readScore
csStu3, ee601roster, addScore
csStu3, ee601roster, read
csStu3, ee601roster, readMyScores,
csStu3, ee602gradebook, addScore
csStu3, ee602gradebook, read
csStu3, ee602gradebook, readMyScores,
csStu3, ee602gradebook, readScore
csStu3, ee602roster, addScore
csStu3, ee602roster, read
csStu3, ee602roster, readMyScores,
csStu3, eeStu1application, addScore
csStu3, eeStu1application, read
csStu3, eeStu1application, readMyScores,
csStu3, eeStu1trans, addScore
csStu3, eeStu1trans, read
csStu3, eeStu1trans, readMyScores,
csStu3, eeStu2application, addScore
csStu3, eeStu2application, read
csStu3, eeStu2application, readMyScores,
csStu3, eeStu2trans, addScore
csStu3, eeStu2trans, read
csStu3, eeStu2trans, readMyScores,
csStu3, eeStu3application, addScore
csStu3, eeStu3application, read
csStu3, eeStu3application, readMyScores,
csStu3, eeStu3trans, addScore
csStu3, eeStu3trans, read
csStu3, eeStu3trans, readMyScores,
csStu3, eeStu4application, addScore
csStu3, eeStu4application, read
csStu3, eeStu4application, readMyScores,
csStu3, eeStu4trans, addScore
csStu3, eeStu4trans, read
csStu3, eeStu4trans, readMyScores,
csStu3, eeStu5application, addScore
csStu3, eeStu5application, read
csStu3, eeStu5application, readMyScores,
csStu3, eeStu5trans, addScore
csStu3, eeStu5trans, read
csStu3, eeStu5trans, readMyScores,
csStu4, application1, addScore
csStu4, application1, read
csStu4, application1, readMyScores,
csStu4, application2, addScore
csStu4, application2, read
csStu4, application2, readMyScores,
csStu4, cs101gradebook, addScore
csStu4, cs101gradebook, read
csStu4, cs101gradebook, readMyScores,
csStu4, cs101gradebook, readScore
csStu4, cs101roster, addScore
csStu4, cs101roster, read
csStu4, cs101roster, readMyScores,
csStu4, cs601gradebook, addScore
csStu4, cs601gradebook, read
csStu4, cs601gradebook, readMyScores,
csStu4, cs601gradebook, readScore
csStu4, cs601roster, addScore
csStu4, cs601roster, read
csStu4, cs601roster, readMyScores,
csStu4, cs602gradebook, addScore
csStu4, cs602gradebook, read
csStu4, cs602gradebook, readMyScores,
csStu4, cs602gradebook, readScore
csStu4, cs602roster, addScore
csStu4, cs602roster, read
csStu4, cs602roster, readMyScores,
csStu4, csStu1application, addScore
csStu4, csStu1application, read
csStu4, csStu1application, readMyScores,
csStu4, csStu1trans, addScore
csStu4, csStu1trans, read
csStu4, csStu1trans, readMyScores,
csStu4, csStu2application, addScore
csStu4, csStu2application, read
csStu4, csStu2application, readMyScores,
csStu4, csStu2trans, addScore
csStu4, csStu2trans, read
csStu4, csStu2trans, readMyScores,
csStu4, csStu3application, addScore
csStu4, csStu3application, read
csStu4, csStu3application, readMyScores,
csStu4, csStu3trans, addScore
csStu4, csStu3trans, read
csStu4, csStu3trans, readMyScores,
csStu4, csStu4application, addScore
csStu4, csStu4application, read
csStu4, csStu4application, readMyScores,
csStu4, csStu4trans, addScore
csStu4, csStu4trans, readMyScores,
csStu4, csStu5application, addScore
csStu4, csStu5application, read
csStu4, csStu5application, readMyScores,
csStu4, csStu5trans, addScore
csStu4, csStu5trans, read
csStu4, csStu5trans, readMyScores,
csStu4, ee101gradebook, addScore
csStu4, ee101gradebook, read
csStu4, ee101gradebook, readMyScores,
csStu4, ee101gradebook, readScore
csStu4, ee101roster, addScore
csStu4, ee101roster, read
csStu4, ee101roster, readMyScores,
csStu4, ee601gradebook, addScore
csStu4, ee601gradebook, read
csStu4, ee601gradebook, readMyScores,
csStu4, ee601gradebook, readScore
csStu4, ee601roster, addScore
csStu4, ee601roster, read
csStu4, ee601roster, readMyScores,
csStu4, ee602gradebook, addScore
csStu4, ee602gradebook, read
csStu4, ee602gradebook, readMyScores,
csStu4, ee602gradebook, readScore
csStu4, ee602roster, addScore
csStu4, ee602roster, read
csStu4, ee602roster, readMyScores,
csStu4, eeStu1application, addScore
csStu4, eeStu1application, read
csStu4, eeStu1application, readMyScores,
csStu4, eeStu1trans, addScore
csStu4, eeStu1trans, read
csStu4, eeStu1trans, readMyScores,
csStu4, eeStu2application, addScore
csStu4, eeStu2application, read
csStu4, eeStu2application, readMyScores,
csStu4, eeStu2trans, addScore
csStu4, eeStu2trans, read
csStu4, eeStu2trans, readMyScores,
csStu4, eeStu3application, addScore
csStu4, eeStu3application, read
csStu4, eeStu3application, readMyScores,
csStu4, eeStu3trans, addScore
csStu4, eeStu3trans, read
csStu4, eeStu3trans, readMyScores,
csStu4, eeStu4application, addScore
csStu4, eeStu4application, read
csStu4, eeStu4application, readMyScores,
csStu4, eeStu4trans, addScore
csStu4, eeStu4trans, read
csStu4, eeStu4trans, readMyScores,
csStu4, eeStu5application, addScore
csStu4, eeStu5application, read
csStu4, eeStu5application, readMyScores,
csStu4, eeStu5trans, addScore
csStu4, eeStu5trans, read
csStu4, eeStu5trans, readMyScores,
csStu5, application1, addScore
csStu5, application1, read
csStu5, application1, readMyScores,
csStu5, application2, addScore
csStu5, application2, read
csStu5, application2, readMyScores,
csStu5, cs101gradebook, addScore
csStu5, cs101gradebook, read
